DateTime,Players,Final price,Discount,Time Since Release
2018-12-13 00:00:00,49539.0,59.99,0.0,10886400.0
2018-12-14 00:00:00,64385.0,59.99,0.0,10972800.0
2018-12-15 00:00:00,63955.0,59.99,0.0,11059200.0
2018-12-16 00:00:00,61070.0,59.99,0.0,11145600.0
2018-12-17 00:00:00,52696.0,59.99,0.0,11232000.0
2018-12-18 00:00:00,47654.0,59.99,0.0,11318400.0
2018-12-19 00:00:00,45516.0,59.99,0.0,11404800.0
2018-12-20 00:00:00,45489.0,59.99,0.0,11491200.0
2018-12-21 00:00:00,93807.0,39.59,0.3400566761126854,11577600.0
2018-12-22 00:00:00,88027.0,39.59,0.3400566761126854,11664000.0
2018-12-23 00:00:00,83449.0,39.59,0.3400566761126854,11750400.0
2018-12-24 00:00:00,77168.0,39.59,0.3400566761126854,11836800.0
2018-12-25 00:00:00,72039.0,39.59,0.3400566761126854,11923200.0
2018-12-26 00:00:00,74830.0,39.59,0.3400566761126854,12009600.0
2018-12-27 00:00:00,73653.0,39.59,0.3400566761126854,12096000.0
2018-12-28 00:00:00,74903.0,39.59,0.3400566761126854,12182400.0
2018-12-29 00:00:00,76141.0,39.59,0.3400566761126854,12268800.0
2018-12-30 00:00:00,75200.0,39.59,0.3400566761126854,12355200.0
2018-12-31 00:00:00,65359.0,39.59,0.3400566761126854,12441600.0
2019-01-01 00:00:00,68428.0,39.59,0.3400566761126854,12528000.0
2019-01-02 00:00:00,68731.0,39.59,0.3400566761126854,12614400.0
2019-01-03 00:00:00,68812.0,39.59,0.3400566761126854,12700800.0
2019-01-04 00:00:00,97343.0,59.99,0.0,12787200.0
2019-01-05 00:00:00,95520.0,59.99,0.0,12873600.0
2019-01-06 00:00:00,86085.0,59.99,0.0,12960000.0
2019-01-07 00:00:00,74593.0,59.99,0.0,13046400.0
2019-01-08 00:00:00,70744.0,59.99,0.0,13132800.0
2019-01-09 00:00:00,67649.0,59.99,0.0,13219200.0
2019-01-10 00:00:00,67288.0,59.99,0.0,13305600.0
2019-01-11 00:00:00,63220.0,59.99,0.0,13392000.0
2019-01-12 00:00:00,68826.0,59.99,0.0,13478400.0
2019-01-13 00:00:00,65988.0,59.99,0.0,13564800.0
2019-01-14 00:00:00,54237.0,59.99,0.0,13651200.0
2019-01-15 00:00:00,52914.0,59.99,0.0,13737600.0
2019-01-16 00:00:00,51325.0,59.99,0.0,13824000.0
2019-01-17 00:00:00,50992.0,59.99,0.0,13910400.0
2019-01-18 00:00:00,62100.0,59.99,0.0,13996800.0
2019-01-19 00:00:00,65447.0,59.99,0.0,14083200.0
2019-01-20 00:00:00,63217.0,59.99,0.0,14169600.0
2019-01-21 00:00:00,51343.0,59.99,0.0,14256000.0
2019-01-22 00:00:00,52921.0,39.59,0.3400566761126854,14342400.0
2019-01-23 00:00:00,54341.0,39.59,0.3400566761126854,14428800.0
2019-01-24 00:00:00,52630.0,39.59,0.3400566761126854,14515200.0
2019-01-25 00:00:00,53559.0,39.59,0.3400566761126854,14601600.0
2019-01-26 00:00:00,94397.0,59.99,0.0,14688000.0
2019-01-27 00:00:00,89874.0,59.99,0.0,14774400.0
2019-01-28 00:00:00,75045.0,59.99,0.0,14860800.0
2019-01-29 00:00:00,67345.0,59.99,0.0,14947200.0
2019-01-30 00:00:00,65191.0,59.99,0.0,15033600.0
2019-01-31 00:00:00,60648.0,59.99,0.0,15120000.0
2019-02-01 00:00:00,59440.0,59.99,0.0,15206400.0
2019-02-02 00:00:00,62572.0,59.99,0.0,15292800.0
